,FermID,Product,Substrate,Phase,Yield (g/g),Yield (mol/mol),R²,Std Error,biomass growth rate,ri,,,,,,,,
116,27-PSI_F504_C1_R1,Formate (pseudo),Biomass (pseudo),3,0.000854239,0.000466808,0.9917534468098824,2.9441822215434685e-05,0.049444516,4.223742771051836e-05,,,,,,,,
117,27-PSI_F504_C1_R1,Glucose (pseudo),Biomass (pseudo),3,,,,,0.049444516,,,,,,,,,
118,27-PSI_F504_C1_R1,Lactate (pseudo),Biomass (pseudo),3,,,,,0.049444516,,,,,,,,,
119,27-PSI_F504_C1_R1,Maltose (pseudo),Biomass (pseudo),3,,,,,0.049444516,,,,,,,,,
120,27-PSI_F504_C1_R1,Propionate (pseudo),Biomass (pseudo),3,0.000437777,0.000147383,0.2887821113509791,0.000280474,0.049444516,2.164566247412144e-05,,,,,,,,
121,27-PSI_F504_C1_R1,Succinate (pseudo),Biomass (pseudo),3,0.000410073,8.69112769157439e-05,1,0,0.049444516,2.027585312615949e-05,,,,,,,,
122,27-PSI_F504_C1_R1,norbaeocystin (pseudo),Biomass (pseudo),3,2.5286592472132127e-06,2.428081403702137e-07,0.9263559480738536,7.129682659276055e-07,0.049444516,1.250283321875757e-07,,,,,,,,
123,27-PSI_F504_C1_R1,psilocin (pseudo),Biomass (pseudo),3,0.001069543,0.000128802,0.9260224192005938,0.000114258,0.049444516,5.288301425325864e-05,,,,,,,,
124,27-PSI_F504_C1_R1,psilocybin (pseudo),Biomass (pseudo),3,0.007694442,0.0006659,0.9750563941346746,0.00046515,0.049444516,0.000380448,,,,,,,,
125,27-PSI_F504_C1_R1,serotonin (pseudo),Biomass (pseudo),3,8.268900678820034e-08,1.1543894029792457e-08,0.4178592165754969,9.759932085292035e-08,0.049444516,4.088517905435318e-09,,,,,,,,
126,27-PSI_F504_C1_R1,tryptamine (pseudo),Biomass (pseudo),3,0.000202942,3.115952913044084e-05,0.8005287806286341,3.828909774051339e-05,0.049444516,1.0034382112115374e-05,,,,,,,,
127,27-PSI_F504_C1_R1,tryptophan (pseudo),Biomass (pseudo),3,1.094106115787187e-07,1.3179419473295857e-08,0.4296504451786878,1.2605856704559845e-07,0.049444516,5.409754716609479e-09,,,,,,,,
128,27-PSI_F504_C1_R2,4-hydroxytryptamine (pseudo),Biomass (pseudo),3,1.7079848191344318e-07,2.384451878480621e-08,0.785322657,8.93003268895437e-08,0.047593548,8.128905767064587e-09,,,,,,,,
129,27-PSI_F504_C1_R2,Acetate (pseudo),Biomass (pseudo),3,0.001836477,0.000765199,0.9299333701472792,0.000190531,0.047593548,8.740443614438502e-05,,,,,,,,
130,27-PSI_F504_C1_R2,Baeocystine (pseudo),Biomass (pseudo),3,0.000280174,2.550572325244038e-05,0.9839476294561512,1.3525789918783568e-05,0.047593548,1.33344818422031e-05,,,,,,,,
131,27-PSI_F504_C1_R2,Ethanol (pseudo),Biomass (pseudo),3,,,,,0.047593548,,,,,,,,,
132,27-PSI_F504_C1_R2,Formate (pseudo),Biomass (pseudo),3,0.000707036,0.000386367,0.9957476679464076,1.88627500348904e-05,0.047593548,3.36503651728156e-05,,,,,,,,
133,27-PSI_F504_C1_R2,Glucose (pseudo),Biomass (pseudo),3,,,,,0.047593548,,,,,,,,,
134,27-PSI_F504_C1_R2,Lactate (pseudo),Biomass (pseudo),3,,,,,0.047593548,,,,,,,,,
135,27-PSI_F504_C1_R2,Maltose (pseudo),Biomass (pseudo),3,,,,,0.047593548,,,,,,,,,
136,27-PSI_F504_C1_R2,Propionate (pseudo),Biomass (pseudo),3,0.003340415,0.001124596,0.9999615506485042,2.071349236430064e-05,0.047593548,0.000158982,,,,,,,,
137,27-PSI_F504_C1_R2,Succinate (pseudo),Biomass (pseudo),3,,,,,0.047593548,,,,,,,,,
138,27-PSI_F504_C1_R2,norbaeocystin (pseudo),Biomass (pseudo),3,2.459097224529175e-06,2.3612862220780557e-07,0.9983600530336628,9.966599430687397e-08,0.047593548,1.170371620772256e-07,,,,,,,,
139,27-PSI_F504_C1_R2,psilocin (pseudo),Biomass (pseudo),3,0.001667113,0.000200765,0.9028610054310442,0.000206682,0.047593548,7.934379922572963e-05,,,,,,,,
140,27-PSI_F504_C1_R2,psilocybin (pseudo),Biomass (pseudo),3,0.012355325,0.001069266,0.9927507426867616,0.000399054,0.047593548,0.000588034,,,,,,,,
141,27-PSI_F504_C1_R2,serotonin (pseudo),Biomass (pseudo),3,4.0928091745169467e-08,5.7138133870448254e-09,0.744984182,2.3945920177550552e-08,0.047593548,1.9479131037643636e-09,,,,,,,,
142,27-PSI_F504_C1_R2,tryptamine (pseudo),Biomass (pseudo),3,0.000354151,5.4376001239488034e-05,0.974566925,2.1623872177151528e-05,0.047593548,1.6855318752735863e-05,,,,,,,,
143,27-PSI_F504_C1_R2,tryptophan (pseudo),Biomass (pseudo),3,6.1842566543278e-07,7.449452242506312e-08,0.961856443,1.2315242525801465e-07,0.047593548,2.943307166386241e-08,,,,,,,,
144,27-PSI_F504_C1_R3,4-hydroxytryptamine (pseudo),Biomass (pseudo),3,2.988907236539516e-07,4.1726983723325636e-08,0.991432437,2.7784944287908268e-08,0.049368764,1.4755865694219478e-08,,,,,,,,
145,27-PSI_F504_C1_R3,Acetate (pseudo),Biomass (pseudo),3,,,,,0.049368764,,,,,,,,,
146,27-PSI_F504_C1_R3,Baeocystine (pseudo),Biomass (pseudo),3,0.000248326,2.2606447813782408e-05,0.9831912651497494,1.2272194570005915e-05,0.049368764,1.2259563343319158e-05,,,,,,,,
147,27-PSI_F504_C1_R3,Ethanol (pseudo),Biomass (pseudo),3,,,,,0.049368764,,,,,,,,,
